tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,time
13.8,6.7,21,0,,37,8.5,,1022.4,,09-09-2023
15.7,8.8,22.1,0.4,,32,10.1,,1021.7,,10-09-2023
15.2,13.7,18,3.7,,28,13.7,,1020.6,,11-09-2023
12.9,9.6,15,13.2,,355,12.2,,1014.1,,12-09-2023
10,8.7,11.2,0.9,,319,16.9,,1015.3,,13-09-2023
11.5,6,18,0,,270,9.1,,1020.8,,14-09-2023
13,7.7,19,0,,214,14.1,,1022.1,,15-09-2023
14.4,9,21,0,,196,13.4,,1017.1,,16-09-2023
13.6,11,19,3.1,,346,11.8,,1013.3,,17-09-2023
11.9,8,16.3,0,,11,18.1,,1015.3,,18-09-2023
8.3,2,14,0,,14,11.5,,1018.1,,19-09-2023
11.1,3,19,0,,240,6.4,,1022.5,,20-09-2023
14.7,8,22,0,,168,11,,1025.6,,21-09-2023
16.6,11,22.4,0,,180,11.5,,1026.6,,22-09-2023
16.6,11,23,0,,80,8.1,,1025.7,,23-09-2023
16.2,13,22.5,0,,38,13,,1023.9,,24-09-2023
15,11,20,0,,49,16.8,,1025.8,,25-09-2023
13.9,9.4,19,0.4,,81,13.8,,1030.1,,26-09-2023
13.2,8,20,0,,88,14.1,,1029.3,,27-09-2023
13.3,6,20.2,0,,92,11.6,,1025.2,,28-09-2023
14.7,8,22,0,,149,9.2,,1023.1,,29-09-2023
15.5,9,22,0,,244,8.7,,1024.5,,30-09-2023
17.1,13.9,20.1,0.8,,55,7.6,,1027,,01-10-2023
18.8,15,25,0,,206,15.3,,1022.1,,02-10-2023
19.7,14.2,27,0,,221,13.3,,1020.2,,03-10-2023
19.8,13.9,27,0,,182,21.1,,1017.3,,04-10-2023
16.9,14,19,9.5,,193,19.4,,1012.2,,05-10-2023
13.5,9,18,8.4,,209,15.5,,1007.6,,06-10-2023
8.2,5.3,10,20.6,,352,18.1,,1007.5,,07-10-2023
2.1,1,5,25.3,,313,28.6,,1000.1,,08-10-2023
2.1,0,5,13.9,,251,16.6,,995.9,,09-10-2023
5.4,2.7,9,6.1,,246,10.2,,1001.4,,10-10-2023
4.4,1.3,7.5,0.8,,288,7.4,,1007.1,,11-10-2023
5.1,0,10.1,0,,324,11.7,,1015.5,,12-10-2023
7.1,1.9,12,0,,2,12.1,,1020.5,,13-10-2023
8.2,7,10.6,1.3,,15,18.5,,1016.6,,14-10-2023
5.7,4.7,7.2,3.9,,351,24.3,,1011.9,,15-10-2023
6.6,3.9,10.2,0,,356,22.7,,1014.8,,16-10-2023
5.3,1,12,0,,6,10.6,,1016.3,,17-10-2023
7.2,3,10.6,0,,187,14.2,,1016.8,,18-10-2023
9.7,8,12,3.2,,173,20.4,,1009.5,,19-10-2023
9.7,5,12.3,21.6,,127,16.8,,999.1,,20-10-2023
4,2.5,5,0.2,,354,23.3,,1002.2,,21-10-2023
2.3,-1,6,0,,340,21.5,,1013.4,,22-10-2023
2.6,-4.3,9,0,,240,11.5,,1022.2,,23-10-2023
8.7,5.3,12.3,4.3,,173,16.4,,1018,,24-10-2023
12.2,10,15,18.8,,217,13.5,,1015.9,,25-10-2023
10.1,8.4,14,18.5,,70,15.4,,1017.3,,26-10-2023
15.1,14,16.1,4.9,,215,17.5,,1009.7,,27-10-2023
3.6,0.6,11.1,1.5,,308,15,,1019.4,,28-10-2023
1.3,-0.5,4,3.6,,159,12.7,,1022.6,,29-10-2023
-0.7,-4.7,1.2,1.9,,303,8.1,,1015.6,,30-10-2023
-2.8,-4.9,0.6,0.3,,99,9.2,,1018.8,,31-10-2023
-3,-8.4,0,0,,289,12.8,,1022,,01-11-2023
1.4,-1.3,4.5,0.1,,207,15.3,,1020.8,,02-11-2023
5.3,0.7,9,2.6,,215,21,,1014,,03-11-2023
-0.2,-5,5,0,,248,7.9,,1021.2,,04-11-2023
-0.4,-1.5,1,0.2,,45,8.9,,1021.5,,05-11-2023
4.3,-1,9,16.9,,165,23.3,,1006,,06-11-2023
-1.7,-5.5,8.1,1.4,,341,23.1,,1012.3,,07-11-2023
-2.7,-6,1,2.7,,80,16.5,,1021,,08-11-2023
-0.7,-3,3.1,8.3,,176,16.5,,1007.8,,09-11-2023
-0.5,-2.4,2,0.2,,314,14.5,,1016.6,,10-11-2023
-3.4,-5.2,-1,0,,8,9.3,,1031.2,,11-11-2023
-2.6,-7,1.8,0,,147,15.7,,1032,,12-11-2023
2.4,0.2,6,3.5,,221,21.4,,1018.7,,13-11-2023
1.3,0,2.1,0,,252,15.5,,1026.4,,14-11-2023
6.2,1,11,0,,218,18.9,,1017.5,,15-11-2023
5.2,-1,11,0,,204,23.8,,1015.6,,16-11-2023
3.2,-3.5,12,5.5,,306,19,,1007.4,,17-11-2023
-0.9,-5.3,4,0,,220,15.2,,1010.2,,18-11-2023
-3.7,-8,-1,0,,338,16.6,,1016.5,,19-11-2023
-7,-12,-2,0,,46,5.5,,1031.5,,20-11-2023
-4.8,-7.5,-2,3.1,,83,15.1,,1020.9,,21-11-2023
-1.5,-3,0.4,0,,281,7.8,,1010.2,,22-11-2023
-3.6,-12,0.6,1,,280,12.9,,1011.8,,23-11-2023
-9.9,-16,-4.8,0,,276,13,,1024.9,,24-11-2023
-2,-7,1.1,0,,228,19.9,,1022.3,,25-11-2023
-1.2,-2,0,6.9,,156,14.5,,1010.7,,26-11-2023
-4.3,-8.9,-0.9,0.6,,251,16.9,,1001.2,,27-11-2023
-10.6,-15.5,-6,0,,291,14.9,,1011.2,,28-11-2023
-4.5,-10.2,-0.4,0.9,,204,18.1,,1006.2,,29-11-2023
1.1,0,3,0,,225,17.2,,1005.2,,30-11-2023
-2.9,-6,-0.7,0,,345,7.7,,1016.2,,01-12-2023
-4.2,-6.2,-1,0,,44,16.3,,1020.4,,02-12-2023
-6.8,-9,-5,1,,36,24.1,,1013.4,,03-12-2023
-5.3,-7.4,-3,0,,9,12.5,,1011.6,,04-12-2023
-5,-6.5,-3,0,,56,10.8,,1018.8,,05-12-2023
-6.9,-10,-5,0.2,,0,9.3,,1020.6,,06-12-2023
-3.4,-6,-1,2.9,,123,9,,1011.6,,07-12-2023
-1.7,-3,0,0,,129,18.7,,1013.1,,08-12-2023
3.6,1,7,5.4,,165,21.8,,1007.2,,09-12-2023
0,-5,3.2,0.1,,255,15.3,,1007.3,,10-12-2023
-6.2,-8,-5,0,,308,14.2,,1015.1,,11-12-2023
-2.7,-6,-0.5,1.3,,235,22.1,,1014.9,,12-12-2023
-6.9,-10.2,-4,0,,271,13,,1030.7,,13-12-2023
-1.7,-9.8,4,0,,216,20.1,,1027,,14-12-2023
2.7,0,5,0.2,,255,15.2,,1023.9,,15-12-2023
-1,-3,1,1,,95,13.7,,1029.5,,16-12-2023
1.8,-1,4,6.7,,162,19.5,,1010.4,,17-12-2023
-1.2,-8.2,4,1.8,,328,24.9,,998.8,,18-12-2023
-8.8,-13,-2.2,0,,264,19.2,,1017.8,,19-12-2023
-3.6,-10,-1,0,,336,16.1,,1029.4,,20-12-2023
-10.3,-13,-6.9,0,,74,15.8,,1037.8,,21-12-2023
-7.7,-11.2,-4,0,,137,13,,1030.2,,22-12-2023
-3.1,-4.7,-1.7,0.4,,110,8.3,,1025.9,,23-12-2023
-0.2,-1.4,1,0,,152,8.9,,1027.6,,24-12-2023
1.3,0,3,0,,156,12.2,,1025.7,,25-12-2023
2,1,3,0.5,,50,15.7,,1021.6,,26-12-2023
1.4,0.7,2.1,0.1,,35,17.2,,1017.5,,27-12-2023
1.7,1,2,0.1,,29,22.8,,1012.5,,28-12-2023
-1.7,-5,1,0,,1,16.8,,1008.5,,29-12-2023
-6.3,-7.2,-5,0,,351,12.5,,1010.3,,30-12-2023
-7.1,-8,-6,0,,42,13.8,,1017.4,,31-12-2023
